country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_criticle,total_cases_per_1M,deaths_per_1M,total_tests,tests_per_1M,population
France,"24,73,354",,"60,549",,"1,83,806","22,28,999","2,754","37,853",927,"3,07,42,081","4,70,481","6,53,41,821"
Spain,"18,17,448",,"48,926",,N/A,N/A,"1,920","38,865","1,046","2,59,91,493","5,55,809","4,67,63,355"
Argentina,"15,41,285",,"41,813",,"13,68,346","1,31,126","3,462","33,956",921,"44,96,873","99,070","4,53,90,840"
Germany,"15,16,024","1,241","26,764",,"11,15,400","3,73,860","5,167","18,067",319,"3,19,74,158","3,81,051","8,39,10,548"
Colombia,"15,07,222",,"40,475",,"13,73,332","93,415","2,578","29,474",791,"74,92,520","1,46,517","5,11,37,670"
Peru,"9,97,517",,"37,103",,"9,32,295","28,119","1,093","30,057","1,118","53,74,886","1,61,957","3,31,87,033"
South Africa,"9,21,922",,"24,691",,"7,93,914","1,03,317",546,"15,453",414,"61,40,839","1,02,932","5,96,59,403"
Morocco,"4,17,125",,"6,957",,"3,78,154","32,014","1,071","11,238",187,"43,00,996","1,15,880","3,71,15,881"
Sweden,"3,67,120",,"7,993",,N/A,N/A,281,"36,245",789,"39,89,420","3,93,863","1,01,28,955"
Panama,"2,12,339",,"3,566",,"1,73,508","35,265",192,"48,852",820,"11,63,813","2,67,756","43,46,539"
Bulgaria,"1,91,195",,"6,609",,"99,758","84,828",536,"27,615",955,"11,01,624","1,59,113","69,23,529"
Lebanon,"1,58,104",,"1,281",,"1,12,333","44,490",418,"23,213",188,"18,20,011","2,67,220","68,10,917"
Costa Rica,"1,57,472",,"1,996",,"1,25,488","29,988",254,"30,780",390,"4,53,805","88,703","51,15,998"
Kazakhstan,"1,47,236",652,"2,147",,"1,31,606","13,483",221,"7,798",114,"48,71,752","2,58,009","1,88,82,103"
Qatar,"1,42,001",,243,,"1,39,724","2,034",22,"50,574",87,"11,96,194","4,26,025","28,07,805"
Egypt,"1,25,555",,"7,098",,"1,06,817","11,640",90,"1,216",69,"10,00,000","9,687","10,32,34,812"
Tunisia,"1,20,687",,"4,158",,"87,884","28,645",293,"10,162",350,"5,46,544","46,018","1,18,76,724"
Venezuela,"1,10,075",,988,,"1,04,462","4,625",54,"3,876",35,"23,80,317","83,821","2,83,97,691"
Paraguay,"99,789",,"2,088",,"71,807","25,894",174,"13,911",291,"5,26,030","73,328","71,73,641"
Algeria,"95,203",,"2,666",,"63,260","29,277",42,"2,153",60,,,"4,42,20,697"
Bahrain,"90,282",,349,,"88,331","1,602",12,"52,223",202,"22,62,042","13,08,468","17,28,772"
China,"86,852",23,"4,634",,"81,900",318,4,60,3,"16,00,00,000","1,11,163","1,43,93,23,776"
Ireland,"79,542",,"2,158",,"23,364","54,020",29,"16,025",435,"21,87,167","4,40,634","49,63,686"
Nigeria,"78,434",,"1,221",,"68,303","8,910",10,376,6,"8,74,617","4,195","20,85,10,536"
Uzbekistan,"76,048",115,612,,"73,339","2,097",171,"2,257",18,"13,77,915","40,892","3,36,96,340"
Singapore,"58,432",10,29,,"58,287",116,,"9,951",5,"50,31,065","8,56,788","58,72,006"
Afghanistan,"50,888",211,"2,089",,"39,701","9,098",93,"1,294",53,"1,82,599","4,642","3,93,36,013"
Montenegro,"43,955",,626,,"34,082","9,247",68,"69,980",997,"1,63,817","2,60,812","6,28,104"
