country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_criticle,total_cases_per_1M,deaths_per_1M,total_tests,tests_per_1M,population
spain,1817448,,48926,,,,1920.0,38865,1046.0,25991493.0,555809.0,46763355
argentina,1541285,,41813,,1368346.0,131126.0,3462.0,33956,921.0,4496873.0,99070.0,45390840
colombia,1507222,,40475,,1373332.0,93415.0,2578.0,29474,791.0,7492520.0,146517.0,51137670
peru,997517,,37103,,932295.0,28119.0,1093.0,30057,1118.0,5374886.0,161957.0,33187033
south africa,921922,,24691,,793914.0,103317.0,546.0,15453,414.0,6140839.0,102932.0,59659403
morocco,417125,,6957,,378154.0,32014.0,1071.0,11238,187.0,4300996.0,115880.0,37115881
sweden,367120,,7993,,,,281.0,36245,789.0,3989420.0,393863.0,10128955
panama,212339,,3566,,173508.0,35265.0,192.0,48852,820.0,1163813.0,267756.0,4346539
bulgaria,191195,,6609,,99758.0,84828.0,536.0,27615,955.0,1101624.0,159113.0,6923529
costa rica,157472,,1996,,125488.0,29988.0,254.0,30780,390.0,453805.0,88703.0,5115998
kazakhstan,147236,652.0,2147,,131606.0,13483.0,221.0,7798,114.0,4871752.0,258009.0,18882103
qatar,142001,,243,,139724.0,2034.0,22.0,50574,87.0,1196194.0,426025.0,2807805
egypt,125555,,7098,,106817.0,11640.0,90.0,1216,69.0,1000000.0,9687.0,103234812
tunisia,120687,,4158,,87884.0,28645.0,293.0,10162,350.0,546544.0,46018.0,11876724
venezuela,110075,,988,,104462.0,4625.0,54.0,3876,35.0,2380317.0,83821.0,28397691
algeria,95203,,2666,,63260.0,29277.0,42.0,2153,60.0,,,44220697
bahrain,90282,,349,,88331.0,1602.0,12.0,52223,202.0,2262042.0,1308468.0,1728772
uzbekistan,76048,115.0,612,,73339.0,2097.0,171.0,2257,18.0,1377915.0,40892.0,33696340
singapore,58432,10.0,29,,58287.0,116.0,,9951,5.0,5031065.0,856788.0,5872006
afghanistan,50888,211.0,2089,,39701.0,9098.0,93.0,1294,53.0,182599.0,4642.0,39336013
montenegro,43955,,626,,34082.0,9247.0,68.0,69980,997.0,163817.0,260812.0,628104
sri lanka,37407,146.0,176,,28682.0,8549.0,,1743,8.0,1102665.0,51393.0,21455646
cameroon,25849,,448,,23851.0,1550.0,50.0,963,17.0,149000.0,5549.0,26852475
cyprus,17688,,91,,2057.0,15540.0,16.0,14600,75.0,683434.0,564123.0,1211499
madagascar,17633,,260,,17147.0,226.0,16.0,629,9.0,98369.0,3511.0,28021094
maldives,13501,8.0,48,,12929.0,524.0,47.0,24773,88.0,291924.0,535650.0,544990
tajikistan,12998,38.0,89,,12455.0,454.0,,1349,9.0,,,9637263
mauritania,12418,,281,,8909.0,3228.0,61.0,2639,60.0,121358.0,25786.0,4706297
jamaica,12289,65.0,286,,9113.0,2890.0,6.0,4142,96.0,132639.0,44701.0,2967270
cabo verde,11579,,111,,11248.0,220.0,23.0,20720,199.0,107404.0,192197.0,558823
cuba,10242,115.0,137,,9126.0,979.0,10.0,905,12.0,1329615.0,117423.0,11323339
eswatini,7427,,140,,6696.0,591.0,67.0,6371,120.0,72750.0,62403.0,1165809
rwanda,7293,,63,,6091.0,1139.0,,557,5.0,690221.0,52684.0,13101211
mali,6191,,222,,3839.0,2130.0,,302,11.0,126647.0,6172.0,20520524
suriname,5552,,118,,5291.0,143.0,5.0,9424,200.0,23762.0,40336.0,589105
thailand,5289,382.0,60,,4053.0,1176.0,1.0,76,0.9,1217873.0,17427.0,69882794
burkina faso,5160,,76,,3659.0,1425.0,,244,4.0,,,21168629
gambia,3786,,123,,3656.0,7.0,1.0,1547,50.0,28041.0,11454.0,2448080
togo,3416,,66,,3017.0,333.0,,408,8.0,167566.0,20023.0,8368873
benin,3167,,44,,3061.0,62.0,,258,4.0,379760.0,30949.0,12270369
niger,2659,,87,,1418.0,1154.0,9.0,108,4.0,55724.0,2264.0,24609020
lesotho,2546,,48,,1445.0,1053.0,,1184,22.0,30486.0,14178.0,2150245
sierra leone,2509,,75,,1856.0,578.0,,312,9.0,,,8052560
chad,1890,,102,,1632.0,156.0,,114,6.0,,,16643817
liberia,1779,,83,,1406.0,290.0,2.0,348,16.0,39377.0,7701.0,5112909
vietnam,1414,1.0,35,,1269.0,110.0,,14,0.4,1431631.0,14646.0,97750576
sao tome and principe,1012,,17,,958.0,37.0,,4578,77.0,7498.0,33919.0,221058
burundi,761,,2,,687.0,72.0,,63,0.2,76962.0,6385.0,12054381
mauritius,524,,10,,489.0,25.0,,412,8.0,289552.0,227498.0,1272767
tanzania,509,,21,,183.0,305.0,7.0,8,0.3,,,60521135
brunei,152,,3,,149.0,0.0,,346,7.0,80896.0,184085.0,439449
fiji,46,,2,,42.0,2.0,,51,2.0,19577.0,21764.0,899505
ecuador,206329,72.0,13949,1.0,181618.0,10762.0,382.0,11612,785.0,713606.0,40161.0,17768432
dominican republic,161052,666.0,2385,1.0,124931.0,33736.0,245.0,14777,219.0,829781.0,76133.0,10899040
bolivia,150023,253.0,9036,1.0,127969.0,13018.0,71.0,12770,769.0,389124.0,33124.0,11747637
kuwait,148209,230.0,922,1.0,144142.0,3145.0,55.0,34466,214.0,1223177.0,284451.0,4300138
oman,127931,264.0,1489,1.0,119745.0,6697.0,40.0,24760,288.0,571472.0,110603.0,5166860
malaysia,95327,2018.0,438,1.0,78393.0,16496.0,109.0,2928,13.0,3122277.0,95892.0,32560459
kyrgyzstan,79254,132.0,1331,1.0,73005.0,4918.0,94.0,12055,202.0,564763.0,85902.0,6574512
norway,44113,208.0,405,1.0,37658.0,6050.0,35.0,8107,74.0,2584584.0,475002.0,5441201
mozambique,17695,127.0,149,1.0,15733.0,1813.0,,559,5.0,258914.0,8178.0,31660607
papua new guinea,761,1.0,9,1.0,601.0,151.0,,84,1.0,36674.0,4063.0,9026082
honduras,117022,162.0,3027,2.0,54267.0,59728.0,112.0,11728,303.0,291355.0,29199.0,9978284
ghana,53954,98.0,333,2.0,52675.0,946.0,14.0,1720,11.0,641277.0,20439.0,31374985
namibia,19299,585.0,180,3.0,16041.0,3078.0,30.0,7532,70.0,190462.0,74330.0,2562385
latvia,31335,395.0,443,4.0,21248.0,9644.0,56.0,16701,236.0,790258.0,421192.0,1876240
malta,11802,88.0,194,4.0,10115.0,1493.0,18.0,26695,439.0,488518.0,1104997.0,442099
kenya,94614,114.0,1644,5.0,76060.0,16910.0,46.0,1742,30.0,1011025.0,18612.0,54322296
senegal,17879,121.0,371,6.0,16562.0,946.0,26.0,1055,22.0,255976.0,15103.0,16948397
nepal,254514,742.0,1795,7.0,244743.0,7976.0,,8662,61.0,1877181.0,63890.0,29381468
el salvador,43772,295.0,1257,7.0,39362.0,3153.0,73.0,6732,193.0,601922.0,92580.0,6501649
uganda,31384,197.0,238,7.0,10549.0,20597.0,,676,5.0,713509.0,15375.0,46407214
estonia,22083,287.0,181,7.0,13677.0,8225.0,33.0,16642,136.0,585915.0,441548.0,1326957
ethiopia,120348,397.0,1861,8.0,103681.0,14806.0,265.0,1035,16.0,1747905.0,15031.0,116285078
saudi arabia,361178,168.0,6131,9.0,352089.0,2958.0,410.0,10300,175.0,10676018.0,304442.0,35067519
belarus,175416,1893.0,1333,9.0,152930.0,21153.0,,18567,141.0,3794812.0,401659.0,9447850
philippines,461505,1721.0,8957,10.0,429207.0,23341.0,708.0,4185,81.0,6495973.0,58913.0,110264730
israel,376857,2097.0,3109,10.0,348589.0,25159.0,470.0,40973,338.0,7190345.0,781764.0,9197590
albania,53425,422.0,1098,10.0,28752.0,23575.0,39.0,18574,382.0,236224.0,82128.0,2876307
finland,33414,254.0,506,17.0,22500.0,10408.0,33.0,6026,91.0,2306700.0,416012.0,5544793
denmark,137632,3198.0,1053,18.0,93214.0,43365.0,87.0,23722,181.0,9511837.0,1639452.0,5801839
lithuania,114487,2130.0,1039,20.0,50863.0,62585.0,198.0,42338,384.0,1564194.0,578450.0,2704114
myanmar,116982,848.0,2465,22.0,96685.0,17832.0,,2143,45.0,1615672.0,29601.0,54581704
north macedonia,78434,129.0,2314,22.0,55155.0,20965.0,138.0,37648,1111.0,381207.0,182979.0,2083333
s. korea,50591,926.0,698,24.0,35155.0,14738.0,274.0,986,14.0,3713861.0,72409.0,51290074
moldova,135910,703.0,2777,25.0,120015.0,13118.0,233.0,33729,689.0,529564.0,131421.0,4029514
armenia,154065,240.0,2656,26.0,133176.0,18233.0,,51946,896.0,567755.0,191430.0,2965863
slovenia,106294,395.0,2379,26.0,83977.0,19938.0,208.0,51126,1144.0,628232.0,302169.0,2079073
bangladesh,502183,1470.0,7312,32.0,439694.0,55177.0,,3035,44.0,3091349.0,18683.0,165460614
guatemala,132867,102.0,4688,32.0,121337.0,6842.0,5.0,7353,259.0,607660.0,33628.0,18070219
czechia,627523,3364.0,10411,35.0,534686.0,82426.0,588.0,58546,971.0,3538944.0,330175.0,10718380
jordan,277448,2499.0,3604,36.0,246168.0,27676.0,313.0,27066,352.0,2983088.0,291012.0,10250747
chile,587488,1943.0,16197,43.0,557913.0,13378.0,673.0,30609,844.0,6107861.0,318227.0,19193418
