Country,"('Unemployment, male (% of male labor force) (modeled ILO estimate)', '2018')","('Employment to population ratio', 'Total', '% ages 15 and older', '2018')","('Unemployment, female (% of female labor force) (modeled ILO estimate)', '2018')","('Gross domestic product', '$ billions', '2019')","('Health expenditure', 'Current', '% of GDP', '2017')","('Health expenditure', 'Public', '% of current', '2017')","('People using safely managed drinking water services', 'Unnamed: 2_level_1', '% of population', '2017')","('People using safely managed sanitation services', 'Unnamed: 4_level_1', '% of population', '2017')","('Lifetime risk of maternal mortality', 'Unnamed: 10_level_1', 'Probability 1 woman in:', '2017')","('Prevalence of undernourishment', 'Unnamed: 2_level_1', '% of population', '2018')","('Prevalence of smoking', 'Male', '% of adults', '2016')","('Prevalence of smoking', 'female', '% of adults', '2016')","('Cause of death', 'Communicable diseases and maternal, prenatal, and nutrition conditions', '% of population', '2016')","('Cause of death', 'Non-communicable diseases', '% of population', '2016')","('Life expectancy at birth', 'Unnamed: 2_level_1', 'years', '2018')","('Neonatal mortality rate', 'Unnamed: 4_level_1', 'per 1,000 live births', '2019')","('Infant mortality rate', 'Unnamed: 6_level_1', 'per 1,000 live births', '2019')","('Adult mortality rate', 'Male', 'per 1,000', '2013-18')","('Adult mortality rate', 'female', 'per 1,000', '2013-18')","('Gross intake ratio in first grade of primary education', 'Male', '% of relevant age group', '2018')","('Gross intake ratio in first grade of primary education', 'female', '% of relevant age group', '2018')","('Transition rate to secondary education', 'Male', '%', '2017')","('Transition rate to secondary education', 'female', '%', '2017')","('Youth literacy rate', 'Male', '% of ages 15-24', '2010-19')","('Youth literacy rate', 'female', '% of ages 15-24', '2010-19')","('Adult literacy rate', 'Male', '% ages 15 and older', '2010-19')","('Adult literacy rate', 'female', '% ages 15 and older', '2010-19')","('Primary completion rate', 'Male', '% of relevant age group', '2018')","('Primary completion rate', 'female', '% of relevant age group', '2018')","('Lower secondary completion rate', 'Male', '% of relevant age group', '2018')","('Lower secondary completion rate', 'female', '% of relevant age group', '2018')","('Access to electricity', 'Unnamed: 7_level_1', '% of population', '2015')","('Gross national income per capita, Atlas method', 'Unnamed: 5_level_1', '$', '2019')","('Population', 'Unnamed: 1_level_1', 'millions', '2019')","('Surface area', 'Unnamed: 2_level_1', 'sq. km thousands', '2019')","('Population density', 'Unnamed: 3_level_1', 'people per sq. km', '2019')"
Afghanistan,10.3,43.4,13.9,19.1,11.8,5.1,74.89615384615384,64.45,33,29.9,34.04424778761062,9.68695652173913,36,44,64,36,47,238,193,130.0,90.0,94.0,86.0,74.0,56.0,55.0,30.0,103.0,67.0,70,40,71.5,540.0,38.0,652.9,57
Albania,13.1,49.0,11.2,15.3,6.385271317829457,51.28062015503876,70.0,39.9,3800,3.6,51.0,7.0,3,93,78,8,9,93,49,107.0,111.0,99.0,98.0,99.0,100.0,99.0,98.0,99.0,105.0,93,100,100.0,5240.0,2.9,28.8,105
Algeria,9.9,36.4,21.1,170.0,6.4,66.0,74.89615384615384,17.7,270,2.8,30.0,1.0,15,76,77,16,20,103,81,102.0,102.0,100.0,98.0,98.0,97.0,87.0,75.0,105.0,106.0,74,95,99.9,3970.0,43.1,2381.7,18
Argentina,8.2,55.7,10.5,449.7,9.1,72.4,74.89615384615384,64.45,1100,3.8,28.0,16.0,16,78,77,6,8,147,79,106.0,106.0,100.0,100.0,99.0,100.0,99.0,99.0,100.0,100.0,86,94,99.8,11200.0,44.9,2780.4,16
Armenia,17.8,45.9,17.2,13.7,10.4,13.2,86.5,48.2,2000,2.6,52.0,2.0,3,93,75,6,11,173,66,91.0,93.0,98.0,99.0,100.0,100.0,100.0,100.0,90.0,90.0,92,94,100.0,4680.0,3.0,29.7,104
Austria,5.0,57.8,4.7,446.3,10.4,72.4,98.9,96.7,13500,2.5,31.0,28.0,3,92,82,2,3,79,42,101.0,101.0,100.0,100.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,100.0,100.0,97,98,100.0,51300.0,8.9,83.9,107
Azerbaijan,4.1,63.6,5.8,48.0,6.7,15.1,73.6,64.45,1700,2.5,43.0,0.0,9,87,73,11,18,149,89,95.0,95.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,101.0,86,84,100.0,4480.0,10.0,86.6,120
Bahrain,0.1,72.7,2.7,38.6,4.7,58.0,99.0,96.0,3000,9.46271186440678,38.0,6.0,7,83,77,3,6,72,56,89.0,90.0,99.0,100.0,100.0,99.0,99.0,95.0,97.0,99.0,89,100,100.0,22110.0,1.6,0.8,2017
Bangladesh,3.3,56.4,6.6,302.6,2.3,16.7,55.4,64.45,250,13.0,45.0,1.0,26,67,72,19,26,151,115,102.0,109.0,93.07377049180327,92.87704918032787,94.0,96.0,77.0,72.0,91.0,91.23076923076923,72,87,73.1,1940.0,163.0,147.6,1240
Belarus,5.9,61.5,3.6,63.1,5.9,70.0,94.5,80.5,23800,2.5,46.0,11.0,3,91,74,1,2,235,83,94.0,94.0,98.0,99.0,100.0,100.0,100.0,100.0,105.0,105.0,98,98,100.0,6280.0,9.5,207.6,47
