,"('Unemployment, male (% of male labor force) (modeled ILO estimate)', '2018')","('Employment to population ratio', 'Total', '% ages 15 and older', '2018')","('Unemployment, female (% of female labor force) (modeled ILO estimate)', '2018')","('Gross domestic product', '$ billions', '2019')","('Health expenditure', 'Current', '% of GDP', '2017')","('Health expenditure', 'Public', '% of current', '2017')","('People using safely managed drinking water services', 'Unnamed: 2_level_1', '% of population', '2017')","('People using safely managed sanitation services', 'Unnamed: 4_level_1', '% of population', '2017')","('Lifetime risk of maternal mortality', 'Unnamed: 10_level_1', 'Probability 1 woman in:', '2017')","('Prevalence of undernourishment', 'Unnamed: 2_level_1', '% of population', '2018')","('Prevalence of smoking', 'Male', '% of adults', '2016')","('Prevalence of smoking', 'female', '% of adults', '2016')","('Cause of death', 'Communicable diseases and maternal, prenatal, and nutrition conditions', '% of population', '2016')","('Cause of death', 'Non-communicable diseases', '% of population', '2016')","('Life expectancy at birth', 'Unnamed: 2_level_1', 'years', '2018')","('Neonatal mortality rate', 'Unnamed: 4_level_1', 'per 1,000 live births', '2019')","('Infant mortality rate', 'Unnamed: 6_level_1', 'per 1,000 live births', '2019')","('Adult mortality rate', 'Male', 'per 1,000', '2013-18')","('Adult mortality rate', 'female', 'per 1,000', '2013-18')","('Gross intake ratio in first grade of primary education', 'Male', '% of relevant age group', '2018')","('Gross intake ratio in first grade of primary education', 'female', '% of relevant age group', '2018')","('Transition rate to secondary education', 'Male', '%', '2017')","('Transition rate to secondary education', 'female', '%', '2017')","('Youth literacy rate', 'Male', '% of ages 15-24', '2010-19')","('Youth literacy rate', 'female', '% of ages 15-24', '2010-19')","('Adult literacy rate', 'Male', '% ages 15 and older', '2010-19')","('Adult literacy rate', 'female', '% ages 15 and older', '2010-19')","('Primary completion rate', 'Male', '% of relevant age group', '2018')","('Primary completion rate', 'female', '% of relevant age group', '2018')","('Lower secondary completion rate', 'Male', '% of relevant age group', '2018')","('Lower secondary completion rate', 'female', '% of relevant age group', '2018')","('Access to electricity', 'Unnamed: 7_level_1', '% of population', '2015')","('Gross national income per capita, Atlas method', 'Unnamed: 5_level_1', '$', '2019')","('Population', 'Unnamed: 1_level_1', 'millions', '2019')","('Surface area', 'Unnamed: 2_level_1', 'sq. km thousands', '2019')","('Population density', 'Unnamed: 3_level_1', 'people per sq. km', '2019')"
spain,13.7,48.9,17.0,1394.1,8.9,70.6,98.4,96.6,21500,2.5,31.0,27.0,5,91,83,2,3,75,38,93.0,94.0,100.0,100.0,100.0,100.0,99.0,98.0,98.0,99.0,95,101,100.0,30390.0,47.1,505.9,94
argentina,8.2,55.7,10.5,449.7,9.1,72.4,74.89615384615384,64.45,1100,3.8,28.0,16.0,16,78,77,6,8,147,79,106.0,106.0,100.0,100.0,99.0,100.0,99.0,99.0,100.0,100.0,86,94,99.8,11200.0,44.9,2780.4,16
colombia,7.1,62.4,11.8,323.8,7.2,67.8,73.2,17.0,630,5.5,14.0,5.0,10,75,77,8,12,152,78,116.0,111.0,93.07377049180329,92.87704918032787,99.0,99.0,95.0,95.0,107.0,106.0,71,80,98.2,6510.0,50.3,1141.7,45
peru,3.3,74.7,3.5,226.8,5.0,63.4,50.4,42.8,480,6.7,34.04424778761062,5.0,20,69,77,6,10,146,85,107.0,106.0,96.0,95.0,99.0,99.0,97.0,92.0,98.0,94.0,99,97,93.9,6740.0,32.5,1285.2,25
south africa,25.1,40.9,29.1,351.4,8.1,53.7,74.89615384615384,64.45,330,5.7,33.0,8.0,40,51,64,12,28,376,249,107.0,100.0,93.0,98.0,94.0,97.0,88.0,86.0,89.0,92.0,77,83,85.5,6040.0,58.6,1219.1,48
morocco,8.6,41.3,10.5,118.7,5.2,42.9,70.3,38.8,560,4.3,47.0,1.0,14,80,76,14,18,72,62,109.0,111.0,93.0,88.0,98.0,97.0,83.0,65.0,93.0,94.0,62,68,99.6,3190.0,36.5,446.6,81
sweden,6.4,60.4,6.3,530.8,11.0,83.7,99.9,93.4,12600,2.5,19.0,19.0,5,90,83,1,2,62,38,102.0,102.0,100.0,99.0,92.34166666666668,90.68333333333334,87.575,81.40833333333333,104.0,104.0,111,107,100.0,55840.0,10.3,447.4,25
panama,3.2,64.0,5.0,66.8,7.3,59.9,74.89615384615384,64.45,750,6.9,10.0,2.0,16,75,78,9,13,148,77,92.0,91.0,100.0,98.0,99.0,99.0,96.0,95.0,91.0,89.0,74,80,95.3,14950.0,4.2,75.4,56
bulgaria,5.7,52.6,4.7,67.9,8.1,51.9,96.9,64.4,7000,3.0,44.0,30.0,2,95,75,3,6,184,86,91.0,91.0,100.0,99.0,98.0,98.0,99.0,98.0,87.0,86.0,51,42,100.0,9410.0,7.0,111.0,65
costa rica,8.0,56.2,12.2,61.8,7.3,73.5,93.8,64.45,1900,3.2,17.0,6.0,6,83,80,6,8,113,57,110.0,111.0,93.0,90.0,99.0,100.0,98.0,98.0,98.0,99.0,66,75,99.4,11700.0,5.0,51.1,98
kazakhstan,4.3,65.7,5.3,180.2,3.1,62.1,89.5,64.45,3500,2.5,43.0,7.0,5,86,73,5,9,221,94,98.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,109.0,112.0,113,114,100.0,8810.0,18.5,2724.9,7
qatar,0.1,86.6,0.5,183.5,2.6,80.7,96.2,96.0,5000,9.46271186440678,27.0,1.0,5,69,80,3,6,41,32,103.0,108.0,99.0,99.0,94.0,96.0,93.0,95.0,97.0,95.0,89,90,100.0,63410.0,2.8,11.6,240
egypt,8.1,40.9,23.0,303.2,5.3,33.0,74.89615384615384,60.7,730,4.7,50.0,0.0,10,84,72,11,17,183,105,101.0,102.0,95.0,98.0,89.0,87.0,76.0,66.0,100.0,102.0,82,88,99.3,2690.0,100.4,1001.5,99
tunisia,12.7,39.2,23.1,38.8,7.2,57.1,92.7,78.1,970,2.5,66.0,1.0,8,86,77,12,15,107,67,105.0,106.0,98.0,98.0,97.0,96.0,86.0,72.0,90.0,100.0,68,87,99.9,3360.0,11.7,163.6,74
