Country,"('Unemployment, male (% of male labor force) (modeled ILO estimate)', '2018')","('Employment to population ratio', 'Total', '% ages 15 and older', '2018')","('Unemployment, female (% of female labor force) (modeled ILO estimate)', '2018')","('Gross domestic product', '$ billions', '2019')","('Health expenditure', 'Current', '% of GDP', '2017')","('Health expenditure', 'Public', '% of current', '2017')","('People using safely managed drinking water services', 'Unnamed: 2_level_1', '% of population', '2017')","('People using safely managed sanitation services', 'Unnamed: 4_level_1', '% of population', '2017')","('Lifetime risk of maternal mortality', 'Unnamed: 10_level_1', 'Probability 1 woman in:', '2017')","('Prevalence of undernourishment', 'Unnamed: 2_level_1', '% of population', '2018')","('Prevalence of smoking', 'Male', '% of adults', '2016')","('Prevalence of smoking', 'female', '% of adults', '2016')","('Cause of death', 'Communicable diseases and maternal, prenatal, and nutrition conditions', '% of population', '2016')","('Cause of death', 'Non-communicable diseases', '% of population', '2016')","('Life expectancy at birth', 'Unnamed: 2_level_1', 'years', '2018')","('Neonatal mortality rate', 'Unnamed: 4_level_1', 'per 1,000 live births', '2019')","('Infant mortality rate', 'Unnamed: 6_level_1', 'per 1,000 live births', '2019')","('Adult mortality rate', 'Male', 'per 1,000', '2013-18')","('Adult mortality rate', 'female', 'per 1,000', '2013-18')","('Gross intake ratio in first grade of primary education', 'Male', '% of relevant age group', '2018')","('Gross intake ratio in first grade of primary education', 'female', '% of relevant age group', '2018')","('Transition rate to secondary education', 'Male', '%', '2017')","('Transition rate to secondary education', 'female', '%', '2017')","('Youth literacy rate', 'Male', '% of ages 15-24', '2010-19')","('Youth literacy rate', 'female', '% of ages 15-24', '2010-19')","('Adult literacy rate', 'Male', '% ages 15 and older', '2010-19')","('Adult literacy rate', 'female', '% ages 15 and older', '2010-19')","('Primary completion rate', 'Male', '% of relevant age group', '2018')","('Primary completion rate', 'female', '% of relevant age group', '2018')","('Lower secondary completion rate', 'Male', '% of relevant age group', '2018')","('Lower secondary completion rate', 'female', '% of relevant age group', '2018')","('Access to electricity', 'Unnamed: 7_level_1', '% of population', '2015')","('Gross national income per capita, Atlas method', 'Unnamed: 5_level_1', '$', '2019')","('Population', 'Unnamed: 1_level_1', 'millions', '2019')","('Surface area', 'Unnamed: 2_level_1', 'sq. km thousands', '2019')","('Population density', 'Unnamed: 3_level_1', 'people per sq. km', '2019')"
Afghanistan,10.3,43.4,13.9,19.1,11.8,5.1,..,..,33,29.9,..,..,36,44,64,36,47,238,193,130,90,94,86,74,56,55,30,103,67,70,40,71.5,540,38.0,652.9,57
Albania,13.1,49.0,11.2,15.3,..,..,70.0,39.9,3800,3.6,51,7,3,93,78,8,9,93,49,107,111,99,98,99,100,99,98,99,105,93,100,100.0,5240,2.9,28.8,105
Algeria,9.9,36.4,21.1,170.0,6.4,66.0,..,17.7,270,2.8,30,1,15,76,77,16,20,103,81,102,102,100,98,98,97,87,75,105,106,74,95,99.9,3970,43.1,2381.7,18
American Samoa,..,..,..,0.6,..,..,12.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.2,277
Andorra,..,..,..,3.2,10.3,49.0,90.6,100.0,..,..,38,29,..,..,..,1,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.1,0.5,164
Angola,6.7,72.1,7.3,94.6,2.8,46.3,..,..,69,18.6,..,..,63,27,61,28,50,327,220,..,..,..,..,85,71,80,53,..,..,..,..,42.0,3050,31.8,1246.7,25
Antigua and Barbuda,..,..,..,1.7,4.5,47.0,..,..,1200,..,..,..,12,82,77,4,6,127,83,97,100,100,99,..,..,98,99,93,99,95,102,100.0,16660,0.1,0.4,219
Argentina,8.2,55.7,10.5,449.7,9.1,72.4,..,..,1100,3.8,28,16,16,78,77,6,8,147,79,106,106,100,100,99,100,99,99,100,100,86,94,99.8,11200,44.9,2780.4,16
Armenia,17.8,45.9,17.2,13.7,10.4,13.2,86.5,48.2,2000,2.6,52,2,3,93,75,6,11,173,66,91,93,98,99,100,100,100,100,90,90,92,94,100.0,4680,3.0,29.7,104
Aruba,..,..,..,3.1,..,..,..,..,..,..,..,..,..,..,76,..,..,111,69,..,..,..,..,100,99,98,98,..,..,..,..,100.0,26810,0.1,0.2,588
Australia,5.3,62.2,5.3,1392.7,9.2,68.9,..,75.6,8200,2.5,17,13,5,90,83,2,3,76,45,..,..,..,..,..,..,..,..,..,..,..,..,100.0,54910,25.4,7741.2,3
Austria,5.0,57.8,4.7,446.3,10.4,72.4,98.9,96.7,13500,2.5,31,28,3,92,82,2,3,79,42,101,101,100,100,..,..,..,..,100,100,97,98,100.0,51300,8.9,83.9,107
Azerbaijan,4.1,63.6,5.8,48.0,6.7,15.1,73.6,..,1700,2.5,43,0,9,87,73,11,18,149,89,95,95,100,98,100,100,100,100,100,101,86,84,100.0,4480,10.0,86.6,120
"Bahamas, The",10.0,67.2,9.9,12.8,5.8,43.9,..,..,820,..,20,3,17,74,74,7,11,194,117,83,84,..,..,..,..,..,..,78,75,..,..,100.0,31780,0.4,13.9,39
Bahrain,0.1,72.7,2.7,38.6,4.7,58.0,99.0,96.0,3000,..,38,6,7,83,77,3,6,72,56,89,90,99,100,100,99,99,95,97,99,89,100,100.0,22110,1.6,0.8,2017
Bangladesh,3.3,56.4,6.6,302.6,2.3,16.7,55.4,..,250,13.0,45,1,26,67,72,19,26,151,115,102,109,..,..,94,96,77,72,..,..,72,87,73.1,1940,163.0,147.6,1240
Barbados,9.2,59.4,9.6,5.2,6.8,44.2,..,..,2400,4.3,15,2,13,83,79,8,12,130,92,98,99,..,..,100,100,100,100,88,90,..,..,100.0,17380,0.3,0.4,667
Belarus,5.9,61.5,3.6,63.1,5.9,70.0,94.5,80.5,23800,2.5,46,11,3,91,74,1,2,235,83,94,94,98,99,100,100,100,100,105,105,98,98,100.0,6280,9.5,207.6,47
Belgium,6.3,50.5,5.6,529.6,10.3,77.2,99.5,97.1,11200,2.5,31,25,8,86,82,2,3,80,49,97,98,..,..,..,..,..,..,..,..,91,95,100.0,47350,11.5,30.5,377
Belize,4.5,60.7,9.7,1.9,5.6,68.0,..,..,1100,7.6,..,..,19,67,74,8,11,214,118,99,98,97,97,..,..,..,..,105,104,64,71,91.8,4450,0.4,23.0,17
Benin,2.2,69.1,2.6,14.4,3.7,30.0,..,..,49,7.4,12,1,54,36,61,31,59,259,211,150,144,83,85,70,52,54,31,68,61,51,40,37.7,1250,11.8,114.8,102
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.1,4.3,1184
Bhutan,1.8,64.9,3.1,2.4,3.2,74.5,36.2,..,250,..,..,..,21,69,71,17,24,197,195,106,105,99,100,93,93,75,57,96,104,75,91,95.5,2970,0.8,38.4,20
Bolivia,3.5,69.4,3.6,40.9,6.4,68.5,..,22.9,220,15.5,..,..,22,65,71,15,21,219,138,99,99,97,97,99,99,97,89,95,94,82,84,91.5,3530,11.5,1098.6,10
Bosnia and Herzegovina,17.2,38.0,20.3,20.0,8.9,70.5,88.8,21.6,8200,2.5,48,30,2,95,77,4,5,115,60,..,..,98,98,100,100,99,95,..,..,..,..,99.7,6150,3.3,51.2,65
Botswana,14.3,58.4,20.5,18.3,6.1,75.7,..,..,220,24.1,34,6,46,46,69,18,32,249,162,..,..,..,..,96,99,86,87,..,..,..,..,58.1,7660,2.3,581.7,4
Brazil,10.9,56.2,14.2,1839.8,9.5,41.9,..,49.3,940,2.5,18,10,14,74,76,8,12,189,91,..,..,..,..,99,99,93,93,..,..,..,..,99.7,9130,211.0,8515.8,25
British Virgin Islands,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,8.3,59.2,9.6,13.5,2.4,94.8,..,..,1700,2.5,31,2,8,85,76,6,10,144,99,100,101,100,100,100,100,98,96,108,108,106,106,100.0,32230,0.4,5.8,81
Bulgaria,5.7,52.6,4.7,67.9,8.1,51.9,96.9,64.4,7000,3.0,44,30,2,95,75,3,6,184,86,91,91,100,99,98,98,99,98,87,86,51,42,100.0,9410,7.0,111.0,65
Burkina Faso,3.8,62.5,8.9,15.7,6.9,43.3,..,..,57,19.2,24,2,56,33,61,26,54,260,228,114,108,81,79,62,55,50,33,63,68,41,45,16.3,790,20.3,274.2,72
Burundi,1.9,78.0,1.0,3.0,7.5,24.7,..,..,33,..,..,..,56,32,61,21,40,311,253,129,127,76,77,91,86,76,61,58,68,29,36,8.6,280,11.5,27.8,435
Cabo Verde,12.7,52.9,11.5,2.0,5.2,60.2,..,..,670,18.5,17,2,20,70,73,9,13,182,86,99,98,94,95,98,99,92,82,85,89,60,77,87.1,3630,0.5,4.0,135
Cambodia,0.5,81.7,0.8,27.1,5.9,23.8,25.8,..,220,14.5,34,2,26,64,70,15,23,200,132,107,102,87,92,92,93,87,75,86,90,55,62,68.8,1480,16.5,181.0,92
