,"Unemployment, male % of male labor force modeled ILO estimate, 2018","Employment to population ratio, Total, % ages 15 and older, 2018","Gross domestic product, $ billions, 2019","Health expenditure, Current, % of GDP, 2017","Health expenditure, Public, % of current, 2017","People using safely managed drinking water services, Unnamed: 2_level_1, % of population, 2017","People using safely managed sanitation services, Unnamed: 4_level_1, % of population, 2017","Lifetime risk of maternal mortality, Unnamed: 10_level_1, Probability 1 woman in:, 2017","Prevalence of undernourishment, Unnamed: 2_level_1, % of population, 2018","Prevalence of smoking, Male, % of adults, 2016","Prevalence of smoking, female, % of adults, 2016","Cause of death, Communicable diseases and maternal, prenatal, and nutrition conditions, % of population, 2016","Gross intake ratio in first grade of primary education, Male, % of relevant age group, 2018","Gross national income per capita, Atlas method, Unnamed: 5_level_1, $, 2019","Population, Unnamed: 1_level_1, millions, 2019","Surface area, Unnamed: 2_level_1, sq. km thousands, 2019","Population density, Unnamed: 3_level_1, people per sq. km, 2019"
spain,13.7,48.9,1394.1,8.9,70.6,98.4,96.6,21500,2.5,31.0,27.0,5,93.0,30390.0,47.1,505.9,94
argentina,8.2,55.7,449.7,9.1,72.4,74.89615384615384,64.45,1100,3.8,28.0,16.0,16,106.0,11200.0,44.9,2780.4,16
colombia,7.1,62.4,323.8,7.2,67.8,73.2,17.0,630,5.5,14.0,5.0,10,116.0,6510.0,50.3,1141.7,45
peru,3.3,74.7,226.8,5.0,63.4,50.4,42.8,480,6.7,34.04424778761062,5.0,20,107.0,6740.0,32.5,1285.2,25
south africa,25.1,40.9,351.4,8.1,53.7,74.89615384615384,64.45,330,5.7,33.0,8.0,40,107.0,6040.0,58.6,1219.1,48
morocco,8.6,41.3,118.7,5.2,42.9,70.3,38.8,560,4.3,47.0,1.0,14,109.0,3190.0,36.5,446.6,81
sweden,6.4,60.4,530.8,11.0,83.7,99.9,93.4,12600,2.5,19.0,19.0,5,102.0,55840.0,10.3,447.4,25
panama,3.2,64.0,66.8,7.3,59.9,74.89615384615384,64.45,750,6.9,10.0,2.0,16,92.0,14950.0,4.2,75.4,56
bulgaria,5.7,52.6,67.9,8.1,51.9,96.9,64.4,7000,3.0,44.0,30.0,2,91.0,9410.0,7.0,111.0,65
costa rica,8.0,56.2,61.8,7.3,73.5,93.8,64.45,1900,3.2,17.0,6.0,6,110.0,11700.0,5.0,51.1,98
kazakhstan,4.3,65.7,180.2,3.1,62.1,89.5,64.45,3500,2.5,43.0,7.0,5,98.0,8810.0,18.5,2724.9,7
qatar,0.1,86.6,183.5,2.6,80.7,96.2,96.0,5000,9.46271186440678,27.0,1.0,5,103.0,63410.0,2.8,11.6,240
egypt,8.1,40.9,303.2,5.3,33.0,74.89615384615384,60.7,730,4.7,50.0,0.0,10,101.0,2690.0,100.4,1001.5,99
tunisia,12.7,39.2,38.8,7.2,57.1,92.7,78.1,970,2.5,66.0,1.0,8,105.0,3360.0,11.7,163.6,74
venezuela,6.7,55.8,1821.3730769230767,1.2,15.9,74.89615384615384,23.8,330,31.4,34.04424778761062,9.68695652173913,11,96.0,12415.348837209302,28.5,912.1,33
algeria,9.9,36.4,170.0,6.4,66.0,74.89615384615384,17.7,270,2.8,30.0,1.0,15,102.0,3970.0,43.1,2381.7,18
bahrain,0.1,72.7,38.6,4.7,58.0,99.0,96.0,3000,9.46271186440678,38.0,6.0,7,89.0,22110.0,1.6,0.8,2017
uzbekistan,5.9,61.3,57.9,6.4,43.3,58.9,64.45,1200,2.6,25.0,1.0,10,103.0,1800.0,33.6,447.4,77
singapore,3.8,67.8,372.1,4.4,48.2,100.0,100.0,9900,9.46271186440678,28.0,5.0,23,101.0,59590.0,5.7,0.7,7953
afghanistan,10.3,43.4,19.1,11.8,5.1,74.89615384615384,64.45,33,29.9,34.04424778761062,9.68695652173913,36,130.0,540.0,38.0,652.9,57
montenegro,15.2,46.2,5.5,6.385271317829457,51.28062015503875,93.6,64.45,9900,2.5,48.0,44.0,1,111.0,9010.0,0.6,13.8,46
sri lanka,2.8,51.9,84.0,3.8,42.9,74.89615384615384,64.45,1300,7.6,27.0,0.0,8,99.0,4020.0,21.8,65.6,346
cameroon,2.9,73.6,38.8,4.7,13.3,74.89615384615384,64.45,40,6.3,34.04424778761062,9.68695652173913,54,123.0,1500.0,25.9,475.4,53
cyprus,8.0,57.9,24.6,6.7,42.4,99.6,75.5,11000,6.8,53.0,20.0,4,96.0,27710.0,1.2,9.3,129
madagascar,1.7,84.6,14.1,5.5,46.9,74.89615384615384,64.45,66,41.7,34.04424778761062,9.68695652173913,46,154.0,520.0,27.0,587.3,45
maldives,6.0,64.8,5.7,9.0,71.5,74.89615384615384,64.45,840,9.46271186440678,55.0,2.0,8,96.0,9650.0,0.5,0.3,1719
tajikistan,11.8,37.3,8.1,7.2,29.0,47.9,64.45,1400,9.46271186440678,34.04424778761062,9.68695652173913,23,107.0,1030.0,9.3,141.4,66
